Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,13,1673,957,474,87,200,1,516,2633,0,0
C:\wamp\www\internship\protected\models,13,1673,957,474,87,200,1,516,2633,0,0
