File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\modules\Admin\views\site\pages\about.php,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\admin.php,75,44,11,2,13,0,18,23,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\update.php,23,15,2,0,6,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\view.php,57,45,2,0,10,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\_form.php,214,155,2,0,52,46,7,251,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\_search.php,110,84,0,0,23,0,3,12,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\_view.php,78,22,0,0,10,2,46,119,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users\admin.php,67,49,11,2,8,0,10,15,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users\view.php,38,31,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users\_form.php,94,69,0,0,18,23,7,119,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users\_search.php,75,56,0,0,16,0,3,12,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users\_view.php,59,27,0,0,10,2,22,59,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\CompanyAdminModule.php,29,20,7,3,4,0,5,45,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\controllers\DefaultController.php,173,86,44,13,25,6,62,339,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\controllers\InternshipPositionController.php,206,115,63,13,36,6,55,324,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\controllers\SiteController.php,167,103,54,15,33,2,31,139,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\admin.php,67,49,11,2,8,0,10,15,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\index.php,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\index_1.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\newPassword.php,42,19,0,0,16,3,7,61,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\view.php,38,31,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\_form.php,85,60,0,0,18,19,7,107,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\_search.php,75,56,0,0,16,0,3,12,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\_view.php,59,27,0,0,10,2,22,59,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\admin.php,95,44,12,2,14,1,37,49,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\create.php,18,11,2,0,4,0,3,12,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\update.php,19,12,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\view.php,54,39,2,0,13,0,2,8,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\_form.php,140,97,21,4,36,22,7,116,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\_formCreate.php,81,45,4,0,28,11,8,84,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\_search.php,210,164,0,0,43,0,3,12,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\_view.php,170,30,1,1,14,2,126,319,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site\contact.php,85,63,2,0,19,0,3,12,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site\error.php,15,10,2,0,3,0,2,8,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site\index.php,19,12,2,0,6,0,1,4,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site\login.php,54,40,2,0,11,0,3,12,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site\viewInternshipPosition.php,34,18,3,0,13,0,3,10,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site\_viewInternshipPosition.php,26,14,0,0,10,0,2,6,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site\pages\about.php,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\AdminModule.php,29,20,7,3,4,0,5,45,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\CompanyController.php,200,112,60,13,33,9,55,328,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\DefaultController.php,111,73,33,8,10,1,28,126,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\InternshipPositionController.php,174,102,38,11,20,8,52,321,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\ProfessorController.php,212,127,61,13,33,9,52,323,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\RequestInternshipController.php,174,102,38,11,20,8,52,321,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\RequestsController.php,171,107,42,11,29,8,35,232,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\SiteController.php,161,100,52,15,30,1,31,137,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\StudentController.php,199,112,60,13,30,9,57,328,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\controllers\UsersController.php,174,102,38,11,20,8,52,321,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\admin.php,57,47,11,2,8,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\view.php,30,23,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\_form.php,86,59,0,0,20,19,7,121,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\_search.php,40,28,0,0,9,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\_view.php,25,16,0,0,7,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\default\index.php,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\admin.php,93,49,11,2,8,0,36,41,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\view.php,64,57,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\_form.php,275,223,2,0,45,79,7,287,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\_search.php,210,164,0,0,43,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\_view.php,163,27,0,0,10,2,126,319,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\admin.php,56,46,11,2,8,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\view.php,33,27,3,0,4,1,2,10,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\_form.php,90,59,0,0,24,19,7,107,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\_search.php,35,24,0,0,8,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\_view.php,21,13,0,0,6,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\admin.php,70,49,11,2,8,0,13,18,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\view.php,41,34,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\_form.php,137,98,3,0,32,31,7,143,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\_search.php,95,72,0,0,20,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\_view.php,71,27,0,0,10,2,34,89,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requests\all.php,4,2,0,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\site\contact.php,85,63,2,0,19,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\site\error.php,15,10,2,0,3,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\site\index.php,18,12,2,0,5,0,1,4,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\site\login.php,54,40,2,0,11,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\site\viewInternshipPosition.php,32,18,3,0,11,0,3,10,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\site\_viewInternshipPosition.php,25,14,0,0,9,0,2,6,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\site\pages\about.php,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\admin.php,73,49,11,2,8,0,16,21,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\update.php,23,15,2,0,6,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\view.php,48,41,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\_form.php,190,141,1,0,42,49,7,245,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\_search.php,110,84,0,0,23,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\_view.php,83,27,0,0,10,2,46,119,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\admin.php,67,49,11,2,8,0,10,15,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\view.php,38,31,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\_form.php,94,69,0,0,18,23,7,119,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\_search.php,75,56,0,0,16,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\_view.php,59,27,0,0,10,2,22,59,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\AdminModule.php,29,20,7,3,4,0,5,45,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\CompanyController.php,200,112,60,13,33,9,55,328,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\controllers\DefaultController.php,111,73,33,8,10,1,28,126,0,0
