Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\modules\eledAdmin\views\site,7,242,166,13,0,61,0,15,56,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\site\pages,1,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student,8,566,383,20,2,103,51,80,429,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users,8,393,273,19,2,70,25,50,237,0,0
C:\wamp\www\internship\protected\modules\envengAdmin,67,4759,3101,564,121,804,290,854,4543,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\controllers,9,1576,937,422,106,225,61,414,2437,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views,57,3154,2144,135,12,575,229,435,2061,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\company,8,298,214,19,2,62,19,22,181,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\default,1,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\internshipPosition,8,865,561,21,2,124,81,180,691,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\professor,8,295,210,20,2,63,20,22,169,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\requestInternship,8,474,321,22,2,88,33,65,294,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\requests,1,4,2,0,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\site,7,242,166,13,0,61,0,15,56,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\site\pages,1,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\student,8,566,383,20,2,103,51,80,429,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\views\users,8,393,273,19,2,70,25,50,237,0,0
C:\wamp\www\internship\protected\modules\icteAdmin,67,4759,3101,564,121,804,290,854,4543,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\controllers,9,1576,937,422,106,225,61,414,2437,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views,57,3154,2144,135,12,575,229,435,2061,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\company,8,298,214,19,2,62,19,22,181,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\default,1,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\internshipPosition,8,865,561,21,2,124,81,180,691,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\professor,8,295,210,20,2,63,20,22,169,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\requestInternship,8,474,321,22,2,88,33,65,294,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\requests,1,4,2,0,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\site,7,242,166,13,0,61,0,15,56,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\site\pages,1,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\student,8,566,383,20,2,103,51,80,429,0,0
C:\wamp\www\internship\protected\modules\icteAdmin\views\users,8,393,273,19,2,70,25,50,237,0,0
C:\wamp\www\internship\protected\modules\mechAdmin,67,4759,3101,564,121,804,290,854,4543,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\controllers,9,1576,937,422,106,225,61,414,2437,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views,57,3154,2144,135,12,575,229,435,2061,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\company,8,298,214,19,2,62,19,22,181,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\default,1,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\internshipPosition,8,865,561,21,2,124,81,180,691,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\professor,8,295,210,20,2,63,20,22,169,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\requestInternship,8,474,321,22,2,88,33,65,294,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\requests,1,4,2,0,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\site,7,242,166,13,0,61,0,15,56,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\site\pages,1,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\student,8,566,383,20,2,103,51,80,429,0,0
C:\wamp\www\internship\protected\modules\mechAdmin\views\users,8,393,273,19,2,70,25,50,237,0,0
C:\wamp\www\internship\protected\modules\nuredAdmin,3,55,42,11,3,7,0,6,49,0,0
C:\wamp\www\internship\protected\modules\nuredAdmin\controllers,1,9,8,3,0,1,0,0,0,0,0
C:\wamp\www\internship\protected\modules\nuredAdmin\views,1,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\nuredAdmin\views\default,1,17,14,1,0,2,0,1,4,0,0
