Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,6,1094,648,267,78,153,41,293,1752,0,0
C:\wamp\www\internship\protected\controllers,6,1094,648,267,78,153,41,293,1752,0,0
