Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,5,683,546,428,0,61,0,76,293,74,289
C:\wamp\www\internship\css,5,683,546,428,0,61,0,76,293,74,289
